Id,IsActive,IsDeleted,CreatedOn,LastModifiedOn,DeletedOn,Name
29,t,f,2025-02-06 05:28:55.54+00,,,Trance
31,t,f,2025-02-06 05:28:55.54+00,,,Drum & Bass
32,t,f,2025-02-06 05:28:55.54+00,2025-05-07 10:58:08.346+00,,Disco
33,t,f,2025-02-06 05:28:55.54+00,,,Hardcore
36,t,f,2025-02-06 05:28:55.54+00,,,Electronic
26,t,f,2024-11-21 06:22:37.14+00,2025-03-19 08:30:25.549+00,,Techno
30,t,f,2025-02-06 05:28:55.54+00,2025-04-22 14:32:26.511+00,,House
35,t,f,2025-02-06 05:28:55.54+00,,,Dance
34,t,f,2025-02-06 05:28:55.54+00,,,Garage
